"Asia_western" "Europe_eastern" "Europe_northern" "Europe_southern" "Europe_western"
"KL1" 0.00884955752212389 0 0.00909090909090909 0.00377833753148615 0.00442477876106195
"KL10" 0.0442477876106195 0 0 0.00377833753148615 0.00442477876106195
"KL102" 0.0442477876106195 0.0114942528735632 0.0181818181818182 0.0314861460957179 0.0663716814159292
"KL103" 0.00442477876106195 0 0.0181818181818182 0 0
"KL105" 0.0132743362831858 0.195402298850575 0.0545454545454545 0.00755667506297229 0.0176991150442478
"KL106" 0 0.00383141762452107 0.0454545454545455 0.0465994962216625 0.0353982300884956
"KL107" 0.13716814159292 0.00766283524904215 0.0272727272727273 0.172544080604534 0.0530973451327434
"KL108" 0.0309734513274336 0 0.00909090909090909 0.00125944584382872 0.0132743362831858
"KL110" 0.00442477876106195 0.00766283524904215 0.00909090909090909 0.0100755667506297 0
"KL111" 0 0 0.00909090909090909 0.00377833753148615 0.00884955752212389
"KL112" 0.0353982300884956 0.114942528735632 0 0.0314861460957179 0.0176991150442478
"KL113" 0 0 0 0.00125944584382872 0
"KL114" 0.00442477876106195 0 0.00909090909090909 0.00251889168765743 0
"KL116" 0 0 0.0181818181818182 0 0
"KL117" 0 0 0.00909090909090909 0.00125944584382872 0
"KL118" 0 0 0 0.00125944584382872 0
"KL121" 0 0 0 0 0.00442477876106195
"KL122" 0.0132743362831858 0.00383141762452107 0.00909090909090909 0.00251889168765743 0.0221238938053097
"KL123" 0 0 0 0.00125944584382872 0.00442477876106195
"KL124" 0 0 0.00909090909090909 0.00125944584382872 0.00442477876106195
"KL125" 0.0132743362831858 0 0 0 0.0221238938053097
"KL127" 0 0.00766283524904215 0 0.00125944584382872 0.0132743362831858
"KL128" 0 0.00383141762452107 0 0.00125944584382872 0
"KL13" 0.00884955752212389 0.00383141762452107 0 0.0113350125944584 0
"KL130" 0.00442477876106195 0 0 0 0
"KL132" 0 0 0 0 0.00442477876106195
"KL134" 0 0 0 0.00125944584382872 0
"KL136" 0.00442477876106195 0 0 0.00377833753148615 0.00442477876106195
"KL137" 0 0 0.0181818181818182 0 0
"KL139" 0.00442477876106195 0 0 0.00251889168765743 0
"KL14" 0.0132743362831858 0 0.0181818181818182 0.0151133501259446 0.0176991150442478
"KL140" 0 0 0.0181818181818182 0.00125944584382872 0.00442477876106195
"KL141" 0 0 0 0 0.00442477876106195
"KL142" 0 0.00383141762452107 0 0.00377833753148615 0
"KL146" 0 0 0 0.00377833753148615 0
"KL147" 0 0 0 0 0.00442477876106195
"KL149" 0 0.0229885057471264 0 0 0.00884955752212389
"KL15" 0.0309734513274336 0.0498084291187739 0.0545454545454545 0.0491183879093199 0.0619469026548673
"KL151" 0.0221238938053097 0.0153256704980843 0.0363636363636364 0.0289672544080605 0.0929203539823009
"KL155" 0.00442477876106195 0 0 0 0
"KL157" 0 0 0 0.00125944584382872 0
"KL158" 0 0 0.00909090909090909 0 0
"KL16" 0.0221238938053097 0 0.00909090909090909 0.00755667506297229 0.00884955752212389
"KL17" 0.079646017699115 0.126436781609195 0.00909090909090909 0.0793450881612091 0.0575221238938053
"KL18" 0.00884955752212389 0 0 0 0.00442477876106195
"KL19" 0.0221238938053097 0 0.0363636363636364 0.00125944584382872 0.00884955752212389
"KL2" 0.0398230088495575 0.0498084291187739 0.118181818181818 0.0289672544080605 0.0486725663716814
"KL20" 0.00442477876106195 0 0 0.00503778337531486 0.00442477876106195
"KL21" 0.00442477876106195 0.0153256704980843 0.0272727272727273 0.0113350125944584 0.00442477876106195
"KL22" 0.0309734513274336 0.0153256704980843 0.0181818181818182 0.0201511335012594 0.00884955752212389
"KL23" 0.00442477876106195 0.0114942528735632 0.0181818181818182 0.00377833753148615 0
"KL24" 0.0309734513274336 0.114942528735632 0.0272727272727273 0.109571788413098 0.0486725663716814
"KL25" 0.0265486725663717 0.0153256704980843 0.0545454545454545 0.0239294710327456 0.0221238938053097
"KL27" 0.0176991150442478 0.00766283524904215 0 0.0113350125944584 0.0353982300884956
"KL28" 0.00884955752212389 0.00383141762452107 0.00909090909090909 0.0125944584382872 0.0132743362831858
"KL3" 0.0176991150442478 0.00383141762452107 0.0272727272727273 0.00377833753148615 0.0132743362831858
"KL30" 0.0265486725663717 0.0114942528735632 0.0181818181818182 0.0226700251889169 0.0265486725663717
"KL31" 0 0.00383141762452107 0.00909090909090909 0.00881612090680101 0.0132743362831858
"KL35" 0 0.0114942528735632 0.00909090909090909 0.00251889168765743 0
"KL36" 0 0 0.00909090909090909 0.0554156171284635 0
"KL37" 0 0.00383141762452107 0 0 0
"KL38" 0.00884955752212389 0 0 0.0100755667506297 0.0221238938053097
"KL39" 0.0221238938053097 0.00383141762452107 0.0272727272727273 0.0188916876574307 0.00884955752212389
"KL43" 0.00442477876106195 0 0 0.00125944584382872 0.00442477876106195
"KL45" 0.0221238938053097 0.0153256704980843 0 0.00251889168765743 0
"KL46" 0.00442477876106195 0.00383141762452107 0 0.00377833753148615 0.00884955752212389
"KL47" 0 0 0 0.00251889168765743 0
"KL48" 0.00442477876106195 0.00383141762452107 0 0.00251889168765743 0
"KL5" 0 0 0.00909090909090909 0.00251889168765743 0.00442477876106195
"KL51" 0 0.0229885057471264 0.00909090909090909 0.0100755667506297 0.00442477876106195
"KL52" 0.00884955752212389 0 0.0272727272727273 0.00251889168765743 0.00442477876106195
"KL54" 0.0132743362831858 0.00766283524904215 0 0.00629722921914358 0.00442477876106195
"KL55" 0 0.00383141762452107 0 0.00377833753148615 0
"KL57" 0.00442477876106195 0.00383141762452107 0 0.00377833753148615 0.00442477876106195
"KL58" 0 0 0.00909090909090909 0.00377833753148615 0
"KL6" 0 0 0.00909090909090909 0 0.00442477876106195
"KL60" 0 0.00766283524904215 0 0 0.00442477876106195
"KL61" 0.00884955752212389 0 0 0.00251889168765743 0.00884955752212389
"KL62" 0.0265486725663717 0.00383141762452107 0.0272727272727273 0.0138539042821159 0.0309734513274336
"KL63" 0.0132743362831858 0 0 0.00251889168765743 0.00884955752212389
"KL64" 0.0132743362831858 0.0651340996168582 0.0181818181818182 0.0226700251889169 0.0309734513274336
"KL7" 0.00884955752212389 0.00383141762452107 0 0.00503778337531486 0.0221238938053097
"KL71" 0 0 0 0.00125944584382872 0
"KL8" 0 0.00383141762452107 0 0.00377833753148615 0.00442477876106195
"KL81" 0.00442477876106195 0 0 0 0
"KL9" 0 0.00383141762452107 0 0.00251889168765743 0
"unknown" 0.0398230088495575 0 0.0545454545454545 0.0151133501259446 0.00442477876106195
