Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Omp_simplified,Bla_carb,Bla_carb_simplified
EuSCAPE_IT031,ST186,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR085,ST1875,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR305,ST188,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO075,ST189,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL033,ST1915,other,other,-,0.06,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_GR004,ST1916,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR014,ST197,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR046,ST20,ST20,CG17/20,-,0.5,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT050,ST20,ST20,CG17/20,-,16,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK014,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE029,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT004,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT101,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT121,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT099,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES242,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR061,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE041,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_MT014,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU065,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR149,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT091,ST2078,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT389,ST2089,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES286,ST215,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE049,ST215,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES086,ST2176,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR051,ST218,other,hv,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR197,ST219,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT041,ST221,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE021,ST221,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO098,ST2286,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT028,ST23,ST23,hv,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_EE007,ST23,ST23,hv,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT149,ST23,ST23,hv,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR231,ST23,ST23,hv,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU051,ST230,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE034,ST230,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SK023,ST234,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES128,ST234,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE043,ST234,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE087,ST2362,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT009,ST2428,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL017,ST2447,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR043,ST2451,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT251,ST2456,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE056,ST2462,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO090,ST2462,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SI015,ST247,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HU049,ST248-2LV,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL005,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE054,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT193,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK127,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO085,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO087,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK137,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR098,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR026,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE052,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR286,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SK032,ST251,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR131,ST2513,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU037,ST253,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT344,ST2594,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT145,ST268,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES259,ST268,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL005,ST2703,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME017,ST274,ST274,ST274,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME018,ST274,ST274,ST274,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT135,ST2777,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT177,ST278,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES215,ST278,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES257,ST278,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT059,ST2791,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK029,ST280,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT033,ST280,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS065,ST285,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME009,ST29,ST29,CG29,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS001,ST29,ST29,CG29,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE041,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME006,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR098,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR099,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR092,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS036,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE008,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE017,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS120,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS121,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR143,ST29,ST29,CG29,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR196,ST29,ST29,CG29,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL019,ST290,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_MT019,ST292,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT037,ST2938,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_AT016,ST294,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SI026,ST295,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT263,ST2981,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE015,ST299,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR255,ST299,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE060,ST2994,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR011,ST30,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR233,ST3003,other,other,-,0.12,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_EE019,ST3009,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE050,ST301,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_MT006,ST307,ST307,CG307,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT395,ST307,ST307,CG307,-,2,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT400,ST307,ST307,CG307,-,16,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR005,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR035,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR054,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_MT015,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_MT020,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT063,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL047,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL026,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME003,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT113,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT161,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT377,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES117,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES148,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT253,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_UK081,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO066,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE031,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE035,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR065,ST3072,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR079,ST308,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR038,ST309,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT313,ST310,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL055,ST3132,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR086,ST3132,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR019,ST3147,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT010,ST3155,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE022,ST321,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR012,ST322,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_CZ024,ST323,ST323,ST323,-,2,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_AT021,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK040,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ003,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES224,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES192,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR159,ST323,ST323,ST323,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK099,ST327,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES241,ST33,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL071,ST3326,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL066,ST336,ST336,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR095,ST336,ST336,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL036,ST337,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR021,ST3370,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR022,ST34,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT379,ST34,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS014,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS022,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS075,ST340,ST340,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS082,ST340,ST340,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS119,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_CZ006,ST340,ST340,CG258,-,0.12,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_RS007,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS009,ST340,ST340,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS041,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS048,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS056,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS080,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS094,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS106,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS051,ST340,ST340,CG258,-,32,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ004,ST340,ST340,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ039,ST340,ST340,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ011,ST340,ST340,CG258,-,2,Functional,Functional,Resistant,MgrB-87%,-,-,-,wt
EuSCAPE_SI022,ST343,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR012,ST343,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR031,ST345,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE018,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE040,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK089,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL028,ST348,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_CZ015,ST35,ST35,CG35,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SI021,ST35,ST35,CG35,-,2,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL058,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SK037,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_DE091,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL067,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT167,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT369,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES206,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES235,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES256,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES292,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR015,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR129,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_LU015,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK049,ST35,ST35,CG35,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR015,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR160,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR013,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR178,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT115,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR170,ST35,ST35,CG35,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR080,ST3526,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES217,ST353,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_RS061,ST353,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR303,ST353,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK124,ST3531,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT012,ST357,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_MT010,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT065,ST36,ST36,CG36,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT006,ST36,ST36,CG36,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT239,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT275,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR097,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE027,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR081,ST36,ST36,CG36,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR211,ST36,ST36,CG36,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR239,ST36,ST36,CG36,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR243,ST36,ST36,CG36,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS096,ST360,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_AT026,ST3634,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_AT030,ST3635,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE003,ST3636,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE024,ST3637,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE030,ST3638,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE048,ST3639,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE011,ST3640,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU041,ST3640,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE046,ST3641,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE053,ST3642,other,other,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE081,ST3643,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES207,ST3645,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES232,ST3646,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES244,ST3647,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR013,ST3649,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR115,ST3651,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR163,ST3652,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL007,ST3653,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL022,ST3653,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL017,ST3654,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT025,ST3655,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT047,ST3656,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT119,ST3657,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT211,ST3658,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT217,ST3659,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT245,ST3660,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT350,ST3661,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT352,ST3661,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT373,ST3662,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT385,ST3663,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_LU004,ST3664,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL022,ST3665,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO034,ST3667,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO043,ST3668,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO114,ST3669,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS050,ST3670,other,other,-,0.12,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS083,ST3671,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS084,ST3671,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SC033,ST3672,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK015,ST3674,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK045,ST3675,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR037,ST3676,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR065,ST3677,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR076,ST3678,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR080,ST3679,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR094,ST3680,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
