Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Omp_simplified,Bla_carb,Bla_carb_simplified
EuSCAPE_PL004,ST11,ST11,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_EE005,ST11,ST11,CG258,-,0.5,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL007,ST11,ST11,CG258,-,1,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ013,ST11,ST11,CG258,-,1,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR049,ST11,ST11,CG258,-,1,Functional,Non-functional,Sensitive,-,-,-,-,wt
EuSCAPE_CZ016,ST11,ST11,CG258,-,4,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK030,ST11,ST11,CG258,-,8,Functional,Non-functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL016,ST11,ST11,CG258,-,8,Functional,Non-functional,Resistant,-,-,-,-,wt
EuSCAPE_DE059,ST11,ST11,CG258,-,8,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL008,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL019,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL021,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL050,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL052,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL054,ST11,ST11,CG258,-,0.06,Functional,Functional,Resistant,-,-,-,-,wt
EuSCAPE_FR008,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK001,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SK004,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK009,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK010,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK011,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK016,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK022,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_SK027,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_FR071,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_EE002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR062,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
