"ST" "mean_vir" "mean_res" "total"
"171" "ST1629" 0 0 1
"172" "ST163" 0.25 0 4
"173" "ST1630" 1 1 1
"174" "ST1631" 0 0 1
"175" "ST1658" 0 0 1
"176" "ST1662-1LV" 0 1 1
"177" "ST1665-2LV" 0 0 1
"178" "ST1683" 0 1 1
"179" "ST1686" 0 0 2
"180" "ST1686-1LV" 0 0 1
"181" "ST1687" 0 0 1
"182" "ST1688" 0 0 2
"183" "ST1688-1LV" 0 0 1
"184" "ST1689" 0 0 1
"185" "ST1690" 0 0 1
"186" "ST1691" 0 0 1
"187" "ST1692" 0 0 1
"188" "ST1693" 0 0.5 2
"189" "ST1693-1LV" 0 0 1
"190" "ST1694" 0 0 3
"191" "ST1694-2LV" 0 0 1
"192" "ST1695-3LV" 0 0 1
"193" "ST17" 0.669172932330827 0.586466165413534 133
"194" "ST17-1LV" 0.25 1.25 4
"195" "ST17-2LV" 0 0 1
"196" "ST1708-1LV" 0 0 1
"197" "ST1709" 0 0 1
"198" "ST171" 0 1 2
"199" "ST171-4LV" 0 0 2
"200" "ST172-1LV" 0 0 1
"201" "ST1724-1LV" 0 3 1
"202" "ST1726" 0 1 1
"203" "ST1728" 0 0 1
"204" "ST1731" 0 0 1
"205" "ST176" 0.5 0 2
"206" "ST1767-1LV" 0 0 1
"207" "ST177" 0 0 1
"208" "ST1773" 0 0 1
"209" "ST1774-3LV" 0 0 1
"210" "ST1777" 0.5 0 2
"211" "ST1778" 1 0 1
"212" "ST1779" 0 0 3
"213" "ST178" 0 0 1
"214" "ST1780" 0 0 1
"215" "ST1787" 0 1 2
"216" "ST179" 0 0 1
"217" "ST1798" 0 2 1
"218" "ST18-1LV" 0 0 1
"219" "ST180" 0.5 0 2
"220" "ST1800" 0 1 1
"221" "ST1800-1LV" 1 1 1
"222" "ST181" 0 0 1
"223" "ST182" 1 0 1
"224" "ST183" 0 0 1
"225" "ST184" 0 1 2
"226" "ST1843" 0 0 1
"227" "ST185" 0 0 3
"228" "ST185-1LV" 0 0 1
"229" "ST186" 0 0 2
"230" "ST186-1LV" 0 0 1
"231" "ST1867" 0 0 1
"232" "ST187" 0 0 1
"233" "ST1872-2LV" 0 1 1
"234" "ST1877" 0 1 1
"235" "ST188" 0 0 5
"236" "ST188-1LV" 0 1 2
"237" "ST188-2LV" 0 0 1
"238" "ST188-3LV" 0 0 1
"239" "ST189" 0 0 1
"240" "ST191" 0 0 1
"241" "ST1915" 0 1 1
"242" "ST1916" 0 1 1
"243" "ST1918-2LV" 0 0 1
"244" "ST192" 0 0 1
"245" "ST1927" 0 0 1
"246" "ST1933" 0 0 1
"247" "ST194" 0 0 1
"248" "ST1948" 4 0 1
"249" "ST1962" 0 0 1
"250" "ST1966" 0 1 3
"251" "ST1966-1LV" 0 1 1
"252" "ST1967" 0 0 1
"253" "ST197" 0 0 1
"254" "ST197-1LV" 2 0 2
"255" "ST197-2LV" 0 0 2
"256" "ST1978" 0 0 1
"257" "ST198" 0.75 0.25 4
"258" "ST1980" 0 0 1
"259" "ST1984" 0 0 2
"260" "ST1986" 1 0 1
"261" "ST199" 0 1 2
"262" "ST199-1LV" 0 0 1
"263" "ST1997" 0 0 2
"264" "ST20" 0.216216216216216 0.459459459459459 37
"265" "ST20-1LV" 0 0.333333333333333 3
"266" "ST200" 0 0 4
"267" "ST200-1LV" 0 1 1
"268" "ST200-2LV" 0 1 1
"269" "ST2004" 0 1 2
"270" "ST2017" 1 2 3
"271" "ST2028" 1 0 1
"272" "ST203" 0 0 2
"273" "ST2039" 5 0 6
"274" "ST2039-1LV" 5 0 1
"275" "ST204" 0 0 1
"276" "ST205" 0 0 2
"277" "ST2054" 0 1 2
"278" "ST2058" 5 0 1
"279" "ST206-2LV" 0 0 1
"280" "ST206-3LV" 0 0 1
"281" "ST2063-1LV" 0 0 1
"282" "ST207" 0 0 1
"283" "ST2072-2LV" 0 0 1
"284" "ST208" 0 0 1
"285" "ST208-1LV" 0.8 0 5
"286" "ST208-2LV" 0 0 1
"287" "ST208-3LV" 0 0 1
"288" "ST2080-2LV" 0 0 1
"289" "ST2089" 0 0 1
"290" "ST209" 0 0 1
"291" "ST209-1LV" 0 0 1
"292" "ST209-2LV" 0 0 2
"293" "ST209-3LV" 0 0 1
"294" "ST2090-1LV" 0 0 1
"295" "ST2097" 0 1 1
"296" "ST210" 0 0 1
"297" "ST2108" 0 0 1
"298" "ST211-1LV" 0 0 1
"299" "ST211-2LV" 0 0 1
"300" "ST2110" 0 1 1
"301" "ST2112" 0 1 1
"302" "ST2112-1LV" 0 1 1
"303" "ST2113" 0 0 1
"304" "ST2114" 0 0 1
"305" "ST2115" 0 0 1
"306" "ST2116" 0 0 4
"307" "ST2117" 0 0 1
"308" "ST2118" 0 0 1
"309" "ST2120" 0 0 1
"310" "ST2121" 0 1 2
"311" "ST2122" 0 0 1
"312" "ST2123" 0 0 1
"313" "ST2124" 0 0 1
"314" "ST2126" 0 0 1
"315" "ST2127" 0 1 1
"316" "ST2128-1LV" 0 0 1
"317" "ST2129-1LV" 0 1 1
"318" "ST213" 0 0 1
"319" "ST2130" 0 1 1
"320" "ST2132" 0 1 1
"321" "ST2136" 0 1 3
"322" "ST2139" 0 0 1
"323" "ST214" 0 0 1
"324" "ST2140" 0 0 1
"325" "ST2141" 0 0 1
"326" "ST2142" 0 1 1
"327" "ST2145" 0 0 1
"328" "ST2147" 1 1 1
"329" "ST215" 0.142857142857143 0.142857142857143 7
"330" "ST215-1LV" 0 0 1
"331" "ST218" 1 0 1
"332" "ST218-1LV" 1 0 1
"333" "ST219-1LV" 1 0 1
"334" "ST22" 0.0555555555555556 0.611111111111111 18
"335" "ST22-1LV" 0 0 2
"336" "ST220" 0.5 0 2
"337" "ST220-1LV" 0 0 1
"338" "ST221" 0 1.125 8
"339" "ST222" 0 0 1
"340" "ST224" 0 1 1
"341" "ST2248" 0 0 1
"342" "ST225" 0 1 1
"343" "ST225-1LV" 0 0.5 2
"344" "ST2267" 0 0 1
"345" "ST227" 0 0 1
"346" "ST2273" 0 1 1
"347" "ST2278-2LV" 0 1 1
"348" "ST228" 0 0.857142857142857 7
"349" "ST2280" 0 0 1
"350" "ST2286-1LV" 0 0 1
"351" "ST229" 1 0 1
"352" "ST23" 4.45121951219512 0.024390243902439 82
"353" "ST23-1LV" 4.625 0 8
"354" "ST230" 0 1 2
"355" "ST230-1LV" 0 0.5 2
"356" "ST231" 1.0952380952381 1.19047619047619 21
"357" "ST231-1LV" 1 1 5
"358" "ST2317" 0 0 6
"359" "ST232" 0 0 1
"360" "ST2326" 0 0 1
"361" "ST2331-2LV" 0 0 1
"362" "ST2333" 0 0 1
"363" "ST234" 1 1.3125 16
"364" "ST2353" 0 0 2
"365" "ST2357" 2 2 2
"366" "ST2357-1LV" 0 0 2
"367" "ST237" 0 0 1
"368" "ST237-1LV" 0 0 1
"369" "ST2370" 1 0 2
"370" "ST2375-1LV" 0 0 1
"371" "ST2388" 0 0 1
"372" "ST2388-1LV" 1 1 1
"373" "ST239-1LV" 0 0 1
"374" "ST239-2LV" 0 0 1
"375" "ST24-2LV" 1 0 1
"376" "ST24-3LV" 0 1 1
"377" "ST240" 0 0 3
"378" "ST240-1LV" 0 0 1
"379" "ST241-1LV" 0 1 1
"380" "ST2410-1LV" 0 0.75 4
"381" "ST2412-2LV" 0 1 1
"382" "ST2413-2LV" 0 0 1
"383" "ST2415" 1 0 1
"384" "ST2428" 0 1 1
"385" "ST2436" 0 0 1
"386" "ST2436-1LV" 0 0 1
"387" "ST244-1LV" 0 2 1
"388" "ST2446" 0 0 1
"389" "ST245" 0 0 1
"390" "ST2456-1LV" 0 0 1
"391" "ST2456-2LV" 0 0 1
"392" "ST2457" 0 2 1
"393" "ST2459" 1 0 2
"394" "ST246" 0 0 1
"395" "ST2462-1LV" 0 0 1
"396" "ST247" 0 0 3
"397" "ST247-1LV" 0 0 1
"398" "ST248-1LV" 0 0 1
"399" "ST248-2LV" 1 0 1
"400" "ST248-3LV" 0 1 2
"401" "ST2481-2LV" 1 1 1
"402" "ST2482-2LV" 0 0 1
"403" "ST249" 1.66666666666667 0 3
"404" "ST2498" 0 0 1
"405" "ST25" 1.69565217391304 0.478260869565217 23
"406" "ST25-1LV" 1.6 0.2 5
"407" "ST25-3LV" 0 0 1
"408" "ST250" 0 1 1
"409" "ST250-1LV" 0 0 1
"410" "ST2504" 0 0 1
"411" "ST251" 0 1 1
"412" "ST252" 0 0.5 6
"413" "ST253" 0 0.2 5
"414" "ST253-1LV" 0 0 2
"415" "ST255-1LV" 0 0 1
"416" "ST256" 0 0 2
"417" "ST258" 0.812754409769335 2.01221166892809 737
"418" "ST258-1LV" 0.392857142857143 1.96428571428571 28
"419" "ST258-2LV" 0 2.5 2
"420" "ST26" 0 0.25 4
"421" "ST26-1LV" 0.375 0.125 8
"422" "ST26-2LV" 0 0 2
"423" "ST260" 5 0 1
"424" "ST261" 0.166666666666667 0.833333333333333 6
"425" "ST264-2LV" 0 0 1
"426" "ST267-1LV" 0 0 1
"427" "ST268" 1.46666666666667 1 15
"428" "ST268-1LV" 0.333333333333333 1 3
"429" "ST27" 0 1 13
"430" "ST27-1LV" 0 1 2
"431" "ST273" 0 1 3
"432" "ST275-2LV" 0 0 1
"433" "ST276" 0 0 1
"434" "ST276-1LV" 5 0 2
"435" "ST277" 0 1.25 4
"436" "ST277-1LV" 0 0.6 5
"437" "ST278" 0 1 1
"438" "ST278-1LV" 0 0 1
"439" "ST280" 0.166666666666667 1 6
"440" "ST280-1LV" 0 1 1
"441" "ST281" 0 0 2
"442" "ST281-1LV" 0 0 1
"443" "ST286-1LV" 0.5 0.5 2
"444" "ST289-1LV" 0 0 1
"445" "ST29" 0.363636363636364 0.636363636363636 44
"446" "ST290" 0.6 0.8 5
"447" "ST290-2LV" 0 0 1
"448" "ST292" 0.666666666666667 0 3
"449" "ST292-2LV" 0 0 1
"450" "ST293-1LV" 0 0 1
"451" "ST2931" 0 0 1
"452" "ST294" 0 0 1
"453" "ST294-1LV" 0 0 1
"454" "ST295" 0 1 1
"455" "ST295-2LV" 0 0 1
"456" "ST297" 0 0.333333333333333 3
