Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_ES119,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-64%,-
EuSCAPE_RO032,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS011,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR035,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR038,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR072,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IE029,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE036,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE013,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE025,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-88%,-
EuSCAPE_BE026,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE075,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR107,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR157,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR019,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR175,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU014,ST15,ST15,CG14/15,-,0.25,Non-functional,Non-functional,Resistant,MgrB-0%,OmpK35-0%;OmpK36-86%,-
EuSCAPE_IT207,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,MgrB-0%,OmpK35-0%,-
EuSCAPE_PL001,ST152,ST152,CG152,-,1,Functional,Non-functional,Sensitive,-,OmpK36-18%,-
EuSCAPE_PL024,ST152,ST152,CG152,-,4,Functional,Non-functional,Sensitive,-,OmpK36-19%,-
EuSCAPE_PL020,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL051,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE059,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL047,ST152,ST152,CG152,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL053,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO072,ST1527,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR031,ST1535,other,other,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL035,ST1536,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT237,ST1536,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES230,ST1563,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HR030,ST1574,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK002,ST1593,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_UK090,ST1593,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO048,ST16,ST16,CG17/20,-,4,Non-functional,Non-functional,Sensitive,-,OmpK35-88%;OmpK36-45%,-
EuSCAPE_PL049,ST16,ST16,CG17/20,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-41%,-
EuSCAPE_FR012,ST16,ST16,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES246,ST16,ST16,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BU024,ST16,ST16,CG17/20,-,16,Non-functional,Functional,Sensitive,MgrB-0%,OmpK35-40%;OmpK36GD,-
EuSCAPE_TR159,ST160,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_LT004,ST1626,other,other,-,0.12,Non-functional,Functional,Unknown,-,OmpK35-40%,-
EuSCAPE_LT003,ST1626,other,other,-,2,Non-functional,Functional,Sensitive,-,OmpK35-40%,-
EuSCAPE_IT141,ST1626,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT147,ST1626,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT346,ST1628,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES063,ST163,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES204,ST163,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HR027,ST163,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR120,ST1630,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR271,ST1634,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL015,ST168,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL023,ST1681,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR190,ST17,ST17,CG17/20,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_EE004,ST17,ST17,CG17/20,-,2,Functional,Non-functional,Sensitive,-,OmpK36-24%,-
EuSCAPE_DE057,ST17,ST17,CG17/20,-,2,Functional,Non-functional,Sensitive,-,OmpK36-73%,-
EuSCAPE_EE003,ST17,ST17,CG17/20,-,0.06,Functional,Non-functional,Unknown,-,OmpK36-24%,-
EuSCAPE_EE018,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_CZ031,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_AT019,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL065,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT019,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT151,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT397,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT358,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES106,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR038,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK115,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK136,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR094,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR129,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR191,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR193,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR261,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT213,ST180,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL013,ST1801,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE035,ST1804,other,other,-,4,Non-functional,Non-functional,Sensitive,-,OmpK36-10%,-
EuSCAPE_ES124,ST1823,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR306,ST185,other,other,-,0.25,Functional,Non-functional,Unknown,-,OmpK36-81%,-
EuSCAPE_IT031,ST186,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HR085,ST1875,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR305,ST188,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO075,ST189,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL033,ST1915,other,other,-,0.06,Functional,Functional,Resistant,-,-,-
EuSCAPE_GR004,ST1916,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE108,ST1942,other,other,-,1,Non-functional,Functional,Unknown,-,OmpK35-7%,-
EuSCAPE_GR014,ST197,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR046,ST20,ST20,CG17/20,-,0.5,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT050,ST20,ST20,CG17/20,-,16,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK014,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK020,ST20,ST20,CG17/20,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-17%,-
EuSCAPE_DE029,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT004,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT101,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT121,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT099,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES242,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR061,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE041,ST20,ST20,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_MT014,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU065,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR149,ST200,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT091,ST2078,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT389,ST2089,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES286,ST215,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE049,ST215,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES086,ST2176,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HR051,ST218,other,hv,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR197,ST219,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT041,ST221,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE021,ST221,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO098,ST2286,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT028,ST23,ST23,hv,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_EE007,ST23,ST23,hv,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT149,ST23,ST23,hv,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR231,ST23,ST23,hv,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU051,ST230,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE034,ST230,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR160,ST231,other,other,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-25%,-
EuSCAPE_SK023,ST234,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES128,ST234,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE043,ST234,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE087,ST2362,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT009,ST2428,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL017,ST2447,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR043,ST2451,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT251,ST2456,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE056,ST2462,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO090,ST2462,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_SI015,ST247,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU049,ST248-2LV,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK019,ST25,ST25,CG25,-,0.12,Functional,Non-functional,Sensitive,-,OmpK36-25%,-
EuSCAPE_DE055,ST25,ST25,CG25,-,4,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_PL005,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE054,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT193,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK127,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO085,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO087,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK137,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR098,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR026,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE052,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR286,ST25,ST25,CG25,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_SK032,ST251,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR131,ST2513,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU037,ST253,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_SC001,ST258,ST258,CG258,-,0.06,Non-functional,Functional,Sensitive,MgrB-60%,OmpK35-25%;OmpK36GD,-
EuSCAPE_GR066,ST258,ST258,CG258,-,0.06,Non-functional,Functional,Resistant,MgrB-62%,OmpK35-25%,-
EuSCAPE_IT344,ST2594,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT145,ST268,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES259,ST268,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL005,ST2703,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME017,ST274,ST274,ST274,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME018,ST274,ST274,ST274,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT135,ST2777,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT177,ST278,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES215,ST278,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES257,ST278,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT059,ST2791,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK029,ST280,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT033,ST280,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL018,ST280,other,other,-,8,Functional,Non-functional,Resistant,MgrB-0%,OmpK36-45%,-
EuSCAPE_RS065,ST285,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME009,ST29,ST29,CG29,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS001,ST29,ST29,CG29,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK055,ST29,ST29,CG29,-,0.5,Functional,Non-functional,Sensitive,-,OmpK36-84%,-
EuSCAPE_DE041,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME006,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR098,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR099,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR092,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS036,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE008,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE017,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS120,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS121,ST29,ST29,CG29,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR143,ST29,ST29,CG29,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR196,ST29,ST29,CG29,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL019,ST290,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_MT019,ST292,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT037,ST2938,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_AT016,ST294,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SI026,ST295,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT263,ST2981,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE015,ST299,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR255,ST299,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE060,ST2994,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR011,ST30,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR233,ST3003,other,other,-,0.12,Functional,Functional,Resistant,-,-,-
EuSCAPE_EE019,ST3009,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE050,ST301,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_MT006,ST307,ST307,CG307,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_NO017,ST307,ST307,CG307,-,0.5,Non-functional,Functional,Sensitive,-,OmpK35-21%,-
EuSCAPE_GR033,ST307,ST307,CG307,-,0.5,Functional,Non-functional,Unknown,-,OmpK36-48%,-
EuSCAPE_SI020,ST307,ST307,CG307,-,1,Functional,Non-functional,Sensitive,-,OmpK36-56%,-
EuSCAPE_IT395,ST307,ST307,CG307,-,2,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE061,ST307,ST307,CG307,-,4,Functional,Non-functional,Unknown,-,OmpK36-62%,-
EuSCAPE_FR030,ST307,ST307,CG307,-,8,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_IT076,ST307,ST307,CG307,-,8,Non-functional,Non-functional,Sensitive,-,OmpK35-21%;OmpK36-25%,-
EuSCAPE_IT400,ST307,ST307,CG307,-,16,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR005,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR035,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR054,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_MT015,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_MT020,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT063,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL047,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL026,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME003,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT113,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT161,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT377,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES117,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES148,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT253,ST307,ST307,CG307,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_UK081,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO066,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE031,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE035,ST307,ST307,CG307,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR065,ST3072,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR079,ST308,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_CZ001,ST309,other,other,-,0.5,Functional,Non-functional,Sensitive,-,OmpK36-8%,-
EuSCAPE_TR038,ST309,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT313,ST310,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL055,ST3132,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR086,ST3132,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_FR019,ST3147,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT010,ST3155,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_BE022,ST321,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR012,ST322,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_CZ024,ST323,ST323,ST323,-,2,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ002,ST323,ST323,ST323,-,2,Functional,Non-functional,Sensitive,-,OmpK36-6%,-
EuSCAPE_AT021,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK040,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ003,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES224,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES192,ST323,ST323,ST323,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_GR159,ST323,ST323,ST323,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT380,ST323,ST323,ST323,-,4,Functional,Non-functional,Resistant,MgrB-0%,OmpK36-34%,-
EuSCAPE_UK099,ST327,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES241,ST33,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL071,ST3326,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL066,ST336,ST336,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR095,ST336,ST336,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL036,ST337,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR021,ST3370,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK040,ST3393,other,other,-,0.25,Functional,Non-functional,Sensitive,-,OmpK36-49%,-
EuSCAPE_FR022,ST34,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT379,ST34,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RS014,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS022,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS075,ST340,ST340,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RS082,ST340,ST340,CG258,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RS119,ST340,ST340,CG258,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_CZ006,ST340,ST340,CG258,-,0.12,Functional,Functional,Resistant,-,-,-
EuSCAPE_RS007,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS009,ST340,ST340,CG258,-,0.25,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RS041,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS048,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS056,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS080,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS094,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS106,ST340,ST340,CG258,-,0.25,Functional,Functional,Unknown,-,-,-
EuSCAPE_RS107,ST340,ST340,CG258,-,0.5,Functional,Non-functional,Unknown,-,OmpK36-57%,-
EuSCAPE_CZ008,ST340,ST340,CG258,-,32,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_RS051,ST340,ST340,CG258,-,32,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ004,ST340,ST340,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ039,ST340,ST340,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK039,ST340,ST340,CG258,-,2,Functional,Non-functional,Sensitive,MgrB-0%,OmpK36-74%,-
EuSCAPE_CZ011,ST340,ST340,CG258,-,2,Functional,Functional,Resistant,MgrB-87%,-,-
EuSCAPE_SI022,ST343,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR012,ST343,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR031,ST345,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE018,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE040,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK089,ST347,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL028,ST348,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_CZ015,ST35,ST35,CG35,-,0.12,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SI021,ST35,ST35,CG35,-,2,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IE031,ST35,ST35,CG35,-,2,Functional,Non-functional,Sensitive,-,OmpK36-61%,-
