Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_RO023,ST101,ST101,CG43,-,1,Non-functional,Functional,Sensitive,-,OmpK35-17%;OmpK36GD,-
EuSCAPE_RO117,ST101,ST101,CG43,-,1,Non-functional,Functional,Sensitive,-,OmpK35-17%;OmpK36GD,-
EuSCAPE_RS079,ST101,ST101,CG43,-,1,Non-functional,Functional,Sensitive,-,OmpK35-17%;OmpK36GD,-
EuSCAPE_RS118,ST101,ST101,CG43,-,1,Non-functional,Functional,Sensitive,-,OmpK35-17%;OmpK36GD,-
EuSCAPE_RO029,ST101,ST101,CG43,-,2,Non-functional,Functional,Unknown,-,OmpK35-17%;OmpK36GD,-
EuSCAPE_GR071,ST101,ST101,CG43,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR162,ST101,ST101,CG43,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_SI001,ST101,ST101,CG43,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR304,ST101,ST101,CG43,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL084,ST101,ST101,CG43,-,4,Non-functional,Non-functional,Resistant,MgrB-81%,OmpK35-17%;OmpK36-10%,-
EuSCAPE_HR081,ST1010,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT153,ST1013,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RO008,ST1015,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR015,ST1015,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT129,ST1017,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT131,ST1017,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_EE012,ST104,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT043,ST104,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES265,ST104,other,other,-,0.06,Functional,Functional,Resistant,-,-,-
EuSCAPE_TR014,ST105,other,CG152,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR217,ST105,other,CG152,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_NO001,ST107,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES142,ST107,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
