,,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,rmpA,rmpA2,AGly,Col,Fcyn,Flq,Gly,MLS,Phe,Rif,Sul,Tet,Tgc,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_ESBL_inhR,Bla_broad,Bla_broad_inhR,omp,
2020,ST35,0.47826087,0,0.152173913,0.02173913,0,0,0.402173913,0.02173913,0,0.304347826,0.054347826,0.173913043,0.239130435,0.076086957,0.293478261,0.304347826,0,0.22826087,0.336956522,0.184782609,0.293478261,,0.923913043,0.010869565,0.054347826,ST35
2019,ST36,0.413043478,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.369565217,0,0,0.152173913,0,0.086956522,0.173913043,0.065217391,0.347826087,0.217391304,0,0.282608696,0.304347826,0.195652174,0.152173913,0,0.934782609,0,,ST36
2020,ST36,0.413043478,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.391304348,0.02173913,0,0.152173913,0.02173913,0.086956522,0.173913043,0.065217391,0.347826087,0.217391304,0,0.282608696,0.260869565,0.195652174,0.152173913,,0.934782609,0,0.086956522,ST36
2019,ST37,0.255813953,0,0.01744186,0.011627907,0,0,0.546511628,0.046511628,0.011627907,0.436046512,0,0.162790698,0.343023256,0.11627907,0.476744186,0.377906977,0,0.465116279,0.459302326,0.290697674,0.308139535,0,0.930232558,0.011627907,,ST37
2020,ST37,0.255813953,0,0.011627907,0,0,0,0.546511628,0.058139535,0.011627907,0.436046512,0.098837209,0.162790698,0.343023256,0.11627907,0.476744186,0.377906977,0,0.465116279,0.441860465,0.290697674,0.308139535,,0.930232558,0.005813953,0.238372093,ST37
2019,ST39,0.526315789,0,0,0,0,0,0.815789474,0,0,0.578947368,0,0.131578947,0.552631579,0.052631579,0.815789474,0.736842105,0,0.789473684,0.684210526,0.157894737,0.578947368,0,0.947368421,0,,ST39
2020,ST39,0.526315789,0,0,0,0,0,0.815789474,0,0,0.578947368,0.052631579,0.131578947,0.552631579,0.052631579,0.815789474,0.736842105,0,0.789473684,0.684210526,0.157894737,0.578947368,,0.947368421,0,0.210526316,ST39
2019,ST45,0.94047619,0,0.011904762,0.011904762,0.011904762,0,0.654761905,0.029761905,0,0.505952381,0,0.053571429,0.476190476,0.029761905,0.619047619,0.577380952,0,0.636904762,0.583333333,0.404761905,0.494047619,0,0.178571429,0.785714286,,ST45
2020,ST45,0.94047619,0,0.011904762,0.011904762,0.011904762,0,0.660714286,0.029761905,0,0.505952381,0.011904762,0.053571429,0.482142857,0.029761905,0.619047619,0.577380952,0,0.636904762,0.589285714,0.410714286,0.505952381,,0.952380952,0,0.113095238,ST45
2019,ST48,0.83908046,0.149425287,0.114942529,0,0.011494253,0.057471264,0.896551724,0.08045977,0,0.643678161,0,0.448275862,0.528735632,0.034482759,0.83908046,0.563218391,0,0.666666667,0.770114943,0.114942529,0.75862069,0,0.712643678,0,,ST48
