"ST" "mean_vir" "mean_res" "total"
"174" "ST147" 0.376470588235294 1.44705882352941 85
"175" "ST147-1LV" 0 0.5 2
"176" "ST1470-2LV" 0 0 1
"177" "ST1471-1LV" 0 1 2
"178" "ST1473" 0 1 1
"179" "ST1478" 0 1 1
"180" "ST1480" 0 0 1
"181" "ST1484-1LV" 0 0 1
"182" "ST1485" 0 1 1
"183" "ST15" 0.920754716981132 1.21509433962264 265
"184" "ST15-1LV" 0.769230769230769 1.15384615384615 13
"185" "ST150" 0 0 1
"186" "ST1502" 0 2 1
"187" "ST1504" 0 1 2
"188" "ST1505" 0 0 1
"189" "ST1507" 0 0 2
"190" "ST1518" 0 1 2
"191" "ST1519" 0 2 1
"192" "ST152" 0.5 0.888888888888889 18
"193" "ST152-1LV" 1 1 15
"194" "ST152-4LV" 4 2 1
"195" "ST1521" 0 0 1
"196" "ST1522" 0 1 1
"197" "ST1528" 0 0 1
"198" "ST1530" 0 1 1
"199" "ST1535" 0 0 1
"200" "ST1536" 0.75 0 4
"201" "ST1540" 0 0 1
"202" "ST1542-2LV" 0 0 4
"203" "ST1544" 4 0 1
"204" "ST1547" 0 0 1
"205" "ST1548" 0.333333333333333 0 3
"206" "ST1550-1LV" 0 1 1
"207" "ST1552" 0 1 5
"208" "ST1552-1LV" 0 1 1
"209" "ST1556-3LV" 0 0 1
"210" "ST1557" 0 1 1
"211" "ST1562" 0 0.333333333333333 3
"212" "ST1564" 0 1 3
"213" "ST158" 0 0.571428571428571 7
"214" "ST1582-1LV" 0 1.5 2
"215" "ST1583" 0.333333333333333 1.33333333333333 3
"216" "ST1584" 0 0 2
"217" "ST1588-1LV" 0 0 1
"218" "ST1593" 1 0 1
"219" "ST1599" 0 0 1
"220" "ST16" 0.555555555555556 1.40740740740741 54
"221" "ST16-1LV" 1 1 1
"222" "ST16-2LV" 0 1 1
"223" "ST16-3LV" 0 2 1
"224" "ST160" 0 1 1
"225" "ST1608-1LV" 0 0.333333333333333 3
"226" "ST1608-2LV" 0 0 1
"227" "ST1609" 0 1 1
"228" "ST161" 0 1 2
"229" "ST1611-1LV" 0 0 1
"230" "ST1613" 0 0 1
"231" "ST162-3LV" 0 0 1
"232" "ST1621" 0 1 1
"233" "ST1625" 1 0 1
"234" "ST1626" 0 0.5 2
"235" "ST1627" 0 1 1
"236" "ST1628" 1 0 1
"237" "ST1629" 0 0 1
"238" "ST163" 0.166666666666667 0.5 6
"239" "ST163-2LV" 0 1 1
"240" "ST1630" 1 1 1
"241" "ST1631" 0 0 1
"242" "ST1634" 0 2 1
"243" "ST1647" 0 1 1
"244" "ST1658" 0 0 3
"245" "ST1665-2LV" 0 0 1
"246" "ST1683" 0 1 1
"247" "ST1686" 0 0 2
"248" "ST1686-1LV" 0 0 1
"249" "ST1687" 0 0 1
"250" "ST1688" 0 0 3
"251" "ST1688-1LV" 0 0 1
"252" "ST1689" 0 0 1
"253" "ST1690" 0 0 1
"254" "ST1691" 0 0 1
"255" "ST1692" 0 0 1
"256" "ST1693" 0 0.5 2
"257" "ST1693-1LV" 0 0 1
"258" "ST1694" 0 0 3
"259" "ST1694-2LV" 0 0 1
"260" "ST1695-3LV" 0 0 1
"261" "ST17" 0.426966292134831 0.764044943820225 89
"262" "ST17-1LV" 0.2 0.8 5
"263" "ST17-2LV" 0 0 1
"264" "ST1708" 0 2 1
"265" "ST1708-1LV" 0 0 1
"266" "ST1709" 0 0 1
"267" "ST171" 0 1 2
"268" "ST171-4LV" 0 0 1
"269" "ST172-1LV" 0 0 1
"270" "ST1724-1LV" 0 3 1
"271" "ST1726" 0 1 1
"272" "ST1728" 0 0 1
"273" "ST1731" 0 0 1
"274" "ST1741" 0 1 1
"275" "ST1746" 0 0 1
"276" "ST176" 0.5 0 2
"277" "ST1767-1LV" 0 0 1
"278" "ST177" 0 0 1
"279" "ST1770" 0 2 1
"280" "ST1773" 0 0 1
"281" "ST1774-3LV" 0 0 1
"282" "ST1777" 0.5 0 2
"283" "ST1778" 1 0 1
"284" "ST1779" 0 0 3
"285" "ST178" 0 0 1
"286" "ST1780" 0 0 1
"287" "ST1782" 0 1 1
"288" "ST1787" 0 1 2
"289" "ST1788" 1 1.5 2
"290" "ST179" 0 0 1
"291" "ST1791" 0 1 1
"292" "ST1795" 0 0 1
"293" "ST1798" 0 1 1
"294" "ST18-1LV" 0 0 1
"295" "ST180" 0.5 0 2
"296" "ST1800" 0 1 1
"297" "ST1803" 0 0 1
"298" "ST1805" 0 1 1
"299" "ST1807" 0 0 1
"300" "ST181" 0 0 1
"301" "ST182" 1 0 1
"302" "ST1822" 0 0.5 4
"303" "ST1822-1LV" 0 1 2
"304" "ST183" 0 0 1
"305" "ST1834-1LV" 0 2 2
"306" "ST1834-2LV" 0 1 7
"307" "ST184" 0 1 2
"308" "ST1843" 0 0 1
"309" "ST185" 0 0 3
"310" "ST185-1LV" 0 0 1
"311" "ST186" 0 0 1
"312" "ST186-1LV" 0 0 1
"313" "ST1867" 1.5 0.5 2
"314" "ST187" 0.666666666666667 1.33333333333333 3
"315" "ST1872-1LV" 0 0 3
"316" "ST1872-2LV" 0 1 1
"317" "ST1877" 0 1 1
"318" "ST188" 0 0.333333333333333 6
"319" "ST188-1LV" 0 1 2
"320" "ST188-2LV" 0 0 1
"321" "ST188-3LV" 0 0 1
"322" "ST1881-1LV" 0 0 1
"323" "ST1887" 0 0.5 2
"324" "ST189" 0 0 1
"325" "ST1899" 0 0 1
"326" "ST19-5LV" 0 1 1
"327" "ST1901-2LV" 3 1 1
"328" "ST191" 0 0 1
"329" "ST1916" 0 1 1
"330" "ST1918-2LV" 0 0 1
"331" "ST1919" 0 0 1
"332" "ST192" 0 0 1
"333" "ST1927" 0 0 1
"334" "ST194" 0 0 1
"335" "ST1948" 4 0 1
"336" "ST196-1LV" 0 0 1
"337" "ST1962" 0 0 1
"338" "ST1966" 0 1 3
"339" "ST1966-1LV" 0 1 1
"340" "ST1967" 0 0 1
"341" "ST197" 0 0 1
"342" "ST197-1LV" 2 0 2
"343" "ST197-2LV" 0 0 8
"344" "ST1978" 0 0 1
"345" "ST198" 0.833333333333333 0.333333333333333 6
"346" "ST1980" 0 0.5 2
"347" "ST1984" 0 0 1
"348" "ST1986" 1 0 1
"349" "ST199" 0 1 2
"350" "ST199-1LV" 0 0 1
"351" "ST1997" 0 0 2
"352" "ST1999" 0 0 12
"353" "ST20" 0.15 0.45 40
"354" "ST20-1LV" 0 0.333333333333333 3
"355" "ST200" 0 0 5
"356" "ST200-1LV" 0 1 1
"357" "ST2004" 0 1.15384615384615 13
"358" "ST2017" 1 2 3
"359" "ST2028" 1 0 1
"360" "ST203" 0 0 2
"361" "ST2037" 0 0 1
"362" "ST2039" 5 0 4
"363" "ST2039-1LV" 5 0 1
"364" "ST204" 0 0 1
"365" "ST2045" 0 0 1
"366" "ST2048" 0 0 1
"367" "ST205" 0 0 4
"368" "ST205-1LV" 0 0 4
"369" "ST2054" 0 1 2
"370" "ST2058" 5 0 1
"371" "ST206-2LV" 0 0 1
"372" "ST206-3LV" 0 0 1
"373" "ST2063-1LV" 0 0 1
"374" "ST2067-1LV" 0 0 1
"375" "ST207" 0 0 1
"376" "ST2072-2LV" 0 0 1
"377" "ST208" 0 0 2
"378" "ST208-1LV" 0.8 0 5
"379" "ST208-2LV" 0 0 1
"380" "ST208-3LV" 0 0 1
"381" "ST2080-2LV" 0 0 1
"382" "ST2089" 0 0 1
"383" "ST209" 0 0 1
"384" "ST209-1LV" 0 0 1
"385" "ST209-2LV" 0 0 1
"386" "ST209-3LV" 0 0 2
"387" "ST2090-1LV" 0 0 1
"388" "ST2097" 0 1 1
"389" "ST210" 0 0 1
"390" "ST2108" 0 0 1
"391" "ST2109" 0 1 1
"392" "ST211-1LV" 0 0 1
"393" "ST211-2LV" 0 0 2
"394" "ST2110" 0 1 1
"395" "ST2112" 0 1 1
"396" "ST2112-1LV" 0 1 1
"397" "ST2113" 0 0 1
"398" "ST2114" 0 0 1
"399" "ST2115" 0 0 1
"400" "ST2116" 0 0 4
"401" "ST2117" 0 0 1
"402" "ST2118" 0 0 1
"403" "ST2119" 0 1 1
"404" "ST2120" 0 0 1
"405" "ST2121" 0 1 2
"406" "ST2122" 0 0 1
"407" "ST2123" 0 0 1
"408" "ST2124" 0 0 1
"409" "ST2125" 0 1 2
"410" "ST2126" 0 0 1
"411" "ST2127" 0 1 1
"412" "ST2128-1LV" 0 0 1
"413" "ST2129-1LV" 0 1 1
"414" "ST213" 0 0 1
"415" "ST2130" 0 1 1
"416" "ST2131" 0 1 1
"417" "ST2132" 0 1 1
"418" "ST2133" 0 1 2
"419" "ST2136" 0 1 3
"420" "ST2137" 0 0 1
"421" "ST2138" 0 1 1
"422" "ST2139" 0 0 1
"423" "ST214" 0 0 1
"424" "ST2140" 0 0 1
"425" "ST2141" 0 0 1
"426" "ST2142" 0 1 1
"427" "ST2143" 0 0.5 2
"428" "ST2143-1LV" 0 0 1
"429" "ST2144" 0 1 1
