strain,Region,Country,Year,Source,Sample type
GCF_900501355.1,Europe_southern,Greece,2013,human,urine
GCF_900501325.1,Europe_southern,Greece,2014,human,urine
GCF_900500885.1,Europe_southern,Greece,2014,human,urine
GCF_900500895.1,Europe_southern,Greece,2014,human,urine
GCF_900500925.1,Europe_southern,Greece,2014,human,urine
GCF_900501345.1,Europe_southern,Greece,2014,human,urine
GCF_900501385.1,Europe_southern,Greece,2014,human,urine
GCF_900502255.1,Europe_southern,Greece,2014,human,urine
GCF_900502785.1,Europe_southern,Greece,2014,human,urine
GCF_900501715.1,Europe_southern,Greece,2014,human,urine
GCF_900501805.1,Europe_southern,Greece,2014,human,urine
GCF_900501395.1,Europe_southern,Greece,2014,human,urine
GCF_900501445.1,Europe_southern,Greece,2014,human,urine
GCF_900501495.1,Europe_southern,Greece,2014,human,urine
GCF_900501485.1,Europe_southern,Greece,2014,human,urine
GCF_900502285.1,Europe_southern,Greece,2014,human,urine
GCF_900502335.1,Europe_southern,Greece,2014,human,urine
GCF_900502325.1,Europe_southern,Greece,2014,human,urine
GCF_900502385.1,Europe_southern,Greece,2014,human,urine
GCF_900501515.1,Europe_southern,Greece,2014,human,urine
GCF_900502365.1,Europe_southern,Greece,2014,human,urine
GCF_900502375.1,Europe_southern,Greece,2014,human,urine
GCF_900502355.1,Europe_southern,Greece,2013,human,urine
GCF_900501525.1,Europe_southern,Greece,2014,human,urine
GCF_900502415.1,Europe_southern,Greece,2014,human,urine
GCF_900501555.1,Europe_southern,Greece,2014,human,urine
GCF_902156795.1,Europe_southern,Greece,2014,human,urine
GCF_900501585.1,Europe_southern,Greece,2014,human,urine
GCF_900501595.1,Europe_southern,Greece,2014,human,urine
GCF_900502405.1,Europe_southern,Greece,2014,human,urine
GCF_900502485.1,Europe_southern,Greece,2014,human,urine
GCF_900502475.1,Europe_southern,Greece,2014,human,urine
GCF_900505635.1,Europe_southern,Croatia,2014,human,urine
GCF_900505675.1,Europe_southern,Croatia,2014,human,urine
GCF_900503335.1,Europe_southern,Croatia,2014,human,urine
GCF_900505665.1,Europe_southern,Croatia,2014,human,urine
GCF_900505655.1,Europe_southern,Croatia,2014,human,urine
GCF_900505685.1,Europe_southern,Croatia,2013,human,urine
GCF_900505715.1,Europe_southern,Croatia,2014,human,urine
GCF_900505765.1,Europe_southern,Croatia,2013,human,urine
GCF_900505755.1,Europe_southern,Croatia,2014,human,urine
GCF_900505795.1,Europe_southern,Croatia,2014,human,urine
GCF_900505815.1,Europe_southern,Croatia,2014,human,urine
GCF_900505825.1,Europe_southern,Croatia,2014,human,urine
GCF_900505845.1,Europe_southern,Croatia,2014,human,urine
GCF_900505895.1,Europe_southern,Croatia,2014,human,urine
GCF_900505905.1,Europe_southern,Croatia,2014,human,urine
GCF_900505885.1,Europe_southern,Croatia,2014,human,urine
GCF_900505925.1,Europe_southern,Croatia,2014,human,urine
GCF_900505945.1,Europe_southern,Croatia,2014,human,urine
GCF_900505995.1,Europe_southern,Croatia,2014,human,urine
GCF_900505975.1,Europe_southern,Croatia,2013,human,urine
GCF_900506005.1,Europe_southern,Croatia,2013,human,urine
GCF_900506035.1,Europe_southern,Croatia,2014,human,urine
GCF_900506025.1,Europe_southern,Croatia,2014,human,urine
GCF_900506055.1,Europe_southern,Croatia,2013,human,urine
GCF_900506075.1,Europe_southern,Croatia,2014,human,urine
GCF_900506065.1,Europe_southern,Croatia,2014,human,urine
GCF_900506095.1,Europe_southern,Croatia,2013,human,urine
GCF_900506115.1,Europe_southern,Croatia,2013,human,urine
GCF_900506135.1,Europe_southern,Croatia,2013,human,urine
GCF_900506155.1,Europe_southern,Croatia,2014,human,urine
GCF_900503415.1,Europe_southern,Croatia,2013,human,urine
GCF_900503365.1,Europe_southern,Croatia,2014,human,urine
GCF_900506245.1,Europe_southern,Croatia,2014,human,urine
GCF_900504975.1,Europe_southern,Croatia,2014,human,urine
GCF_900504985.1,Europe_southern,Croatia,2014,human,urine
GCF_900505035.1,Europe_southern,Croatia,2014,human,urine
GCF_900500965.1,Europe_southern,Croatia,2014,human,urine
GCF_900517085.1,Europe_eastern,Hungary,2013,human,urine
GCF_900517135.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516275.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516395.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516445.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516595.1,Europe_eastern,Hungary,2013,human,urine
GCF_902155845.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516725.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516715.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516745.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516755.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516775.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516805.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516825.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516925.1,Europe_eastern,Hungary,2014,human,urine
GCF_900516915.1,Europe_eastern,Hungary,2014,human,urine
GCF_900516935.1,Europe_eastern,Hungary,2013,human,urine
GCF_900517035.1,Europe_eastern,Hungary,2013,human,urine
GCF_900517025.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516965.1,Europe_eastern,Hungary,2013,human,urine
GCF_900517015.1,Europe_eastern,Hungary,2013,human,urine
GCF_900516995.1,Europe_eastern,Hungary,2013,human,urine
GCF_900517045.1,Europe_eastern,Hungary,2013,human,urine
GCF_902155985.1,Europe_northern,Ireland,2013,human,urine
GCF_900506295.1,Europe_northern,Ireland,2013,human,urine
GCF_900506365.1,Europe_northern,Ireland,2014,human,urine
GCF_900506355.1,Europe_northern,Ireland,2014,human,urine
GCF_900506375.1,Europe_northern,Ireland,2014,human,urine
GCF_900506405.1,Europe_northern,Ireland,2014,human,urine
GCF_900506435.1,Europe_northern,Ireland,2014,human,urine
GCF_900512105.1,Asia_western,Israel,2013,human,urine
GCF_900509405.2,Asia_western,Israel,2013,human,urine
GCF_902156195.1,Asia_western,Israel,2013,human,urine
GCF_902156755.1,Asia_western,Israel,2013,human,urine
GCF_900512185.1,Asia_western,Israel,2013,human,urine
GCF_900509215.2,Asia_western,Israel,2013,human,urine
GCF_900512205.1,Asia_western,Israel,2013,human,urine
GCF_900512195.1,Asia_western,Israel,2014,human,urine
GCF_900512225.1,Asia_western,Israel,2014,human,urine
GCF_900512215.1,Asia_western,Israel,2014,human,urine
GCF_900512265.1,Asia_western,Israel,2014,human,urine
GCF_900512815.1,Asia_western,Israel,2013,human,urine
GCF_900513715.1,Asia_western,Israel,2014,human,urine
GCF_900513815.1,Asia_western,Israel,2014,human,urine
GCF_900514085.1,Asia_western,Israel,2014,human,urine
GCF_900512785.1,Asia_western,Israel,2014,human,urine
GCF_900512955.1,Asia_western,Israel,2013,human,urine
GCF_900513005.1,Asia_western,Israel,2013,human,urine
GCF_900513175.1,Asia_western,Israel,2013,human,urine
GCF_900513455.1,Asia_western,Israel,2013,human,urine
GCF_902157125.1,Asia_western,Israel,2013,human,urine
GCF_900513515.1,Asia_western,Israel,2013,human,urine
GCF_902156715.1,Asia_western,Israel,2013,human,urine
GCF_900513575.1,Asia_western,Israel,2013,human,urine
GCF_900513615.1,Asia_western,Israel,2014,human,urine
GCF_902156065.1,Asia_western,Israel,2014,human,urine
GCF_900513625.1,Asia_western,Israel,2014,human,urine
GCF_900513635.1,Asia_western,Israel,2014,human,urine
GCF_900513645.1,Asia_western,Israel,2014,human,urine
GCF_900513675.1,Asia_western,Israel,2014,human,urine
GCF_902156135.1,Asia_western,Israel,2014,human,urine
GCF_900513735.1,Asia_western,Israel,2014,human,urine
GCF_900513755.1,Asia_western,Israel,2014,human,urine
GCF_900513775.1,Asia_western,Israel,2014,human,urine
GCF_900513745.1,Asia_western,Israel,2014,human,urine
GCF_900513765.1,Asia_western,Israel,2014,human,urine
GCF_900513785.1,Asia_western,Israel,2014,human,urine
GCF_900513805.1,Asia_western,Israel,2014,human,urine
GCF_900513795.1,Asia_western,Israel,2014,human,urine
GCF_900513865.1,Asia_western,Israel,2014,human,urine
GCF_900514005.1,Europe_southern,Italy,2013,human,urine
GCF_900513995.1,Europe_southern,Italy,2013,human,urine
GCF_900514055.1,Europe_southern,Italy,2013,human,urine
GCF_900514045.1,Europe_southern,Italy,2013,human,urine
GCF_900514215.1,Europe_southern,Italy,2013,human,urine
GCF_900514065.1,Europe_southern,Italy,2013,human,urine
GCF_900514095.1,Europe_southern,Italy,2013,human,urine
GCF_900514105.1,Europe_southern,Italy,2013,human,urine
GCF_900514075.1,Europe_southern,Italy,2013,human,urine
GCF_902156565.1,Europe_southern,Italy,2013,human,urine
GCF_900514145.1,Europe_southern,Italy,2013,human,urine
GCF_900514165.1,Europe_southern,Italy,2013,human,urine
GCF_900514135.1,Europe_southern,Italy,2013,human,urine
GCF_900514175.1,Europe_southern,Italy,2013,human,urine
GCF_900512845.1,Europe_southern,Italy,2013,human,urine
GCF_902156325.1,Europe_southern,Italy,2013,human,urine
GCF_900513165.1,Europe_southern,Italy,2013,human,urine
GCF_900513205.1,Europe_southern,Italy,2013,human,urine
GCF_900513265.1,Europe_southern,Italy,2013,human,urine
GCF_900513325.1,Europe_southern,Italy,2013,human,urine
GCF_900513315.1,Europe_southern,Italy,2013,human,urine
GCF_900513345.1,Europe_southern,Italy,2013,human,urine
GCF_900513405.1,Europe_southern,Italy,2013,human,urine
GCF_900513365.1,Europe_southern,Italy,2013,human,urine
GCF_900513355.1,Europe_southern,Italy,2013,human,urine
GCF_900508555.1,Europe_southern,Italy,2013,human,urine
GCF_900513375.1,Europe_southern,Italy,2013,human,urine
GCF_900514205.1,Europe_southern,Italy,2013,human,urine
GCF_900509575.1,Europe_southern,Italy,2013,human,urine
GCF_900515055.1,Europe_southern,Italy,2013,human,urine
GCF_900508525.1,Europe_southern,Italy,2013,human,urine
GCF_900508545.1,Europe_southern,Italy,2013,human,urine
GCF_902156885.1,Europe_southern,Italy,2013,human,urine
GCF_900514195.1,Europe_southern,Italy,2013,human,urine
GCF_900514275.1,Europe_southern,Italy,2013,human,urine
GCF_900514395.1,Europe_southern,Italy,2013,human,urine
GCF_900514725.1,Europe_southern,Italy,2013,human,urine
GCF_900509265.1,Europe_southern,Italy,2013,human,urine
GCF_900508565.1,Europe_southern,Italy,2013,human,urine
GCF_900514885.1,Europe_southern,Italy,2013,human,urine
GCF_900514905.1,Europe_southern,Italy,2014,human,urine
GCF_900514945.1,Europe_southern,Italy,2014,human,urine
GCF_900515025.1,Europe_southern,Italy,2014,human,urine
GCF_900515045.1,Europe_southern,Italy,2014,human,urine
GCF_900515105.1,Europe_southern,Italy,2014,human,urine
GCF_900515095.1,Europe_southern,Italy,2014,human,urine
GCF_900515165.1,Europe_southern,Italy,2014,human,urine
GCF_900515265.1,Europe_southern,Italy,2014,human,urine
GCF_900515285.1,Europe_southern,Italy,2014,human,urine
GCF_902156245.1,Europe_southern,Italy,2013,human,urine
GCF_900515335.1,Europe_southern,Italy,2014,human,urine
GCF_900509525.1,Europe_southern,Italy,2014,human,urine
GCF_900515375.1,Europe_southern,Italy,2014,human,urine
GCF_900514235.1,Europe_southern,Italy,2014,human,urine
GCF_900514305.1,Europe_southern,Italy,2013,human,urine
GCF_900514285.1,Europe_southern,Italy,2014,human,urine
GCF_900514325.1,Europe_southern,Italy,2014,human,urine
GCF_900514335.1,Europe_southern,Italy,2014,human,urine
GCF_900514375.1,Europe_southern,Italy,2014,human,urine
GCF_900514385.1,Europe_southern,Italy,2014,human,urine
GCF_900514425.1,Europe_southern,Italy,2014,human,urine
GCF_902156575.1,Europe_southern,Italy,2013,human,urine
GCF_900514505.1,Europe_southern,Italy,2014,human,urine
GCF_900514545.1,Europe_southern,Italy,2013,human,urine
GCF_900514535.1,Europe_southern,Italy,2014,human,urine
GCF_900514515.1,Europe_southern,Italy,2013,human,urine
GCF_902156235.1,Europe_southern,Italy,2014,human,urine
GCF_900514595.1,Europe_southern,Italy,2014,human,urine
GCF_900514625.1,Europe_southern,Italy,2013,human,urine
GCF_900514605.1,Europe_southern,Italy,2014,human,urine
GCF_900514615.1,Europe_southern,Italy,2013,human,urine
GCF_900502965.1,Europe_southern,Italy,2013,human,urine
GCF_900514665.1,Europe_southern,Italy,2013,human,urine
GCF_900514675.1,Europe_southern,Italy,2013,human,urine
GCF_900514735.1,Europe_southern,Italy,2013,human,urine
GCF_900515415.1,Europe_southern,Italy,2013,human,urine
GCF_900515715.1,Europe_southern,Italy,2013,human,urine
GCF_900515765.1,Europe_southern,Italy,2013,human,urine
GCF_900509285.1,Europe_southern,Italy,2013,human,urine
GCF_900515885.1,Europe_southern,Italy,2013,human,urine
GCF_902156255.1,Europe_southern,Italy,2013,human,urine
GCF_900515425.1,Europe_southern,Italy,2013,human,urine
GCF_900515475.1,Europe_southern,Italy,2014,human,urine
GCF_900515755.1,Europe_southern,Italy,2014,human,urine
GCF_900515775.1,Europe_southern,Italy,2014,human,urine
GCF_902156465.1,Europe_southern,Italy,2013,human,urine
GCF_900515965.1,Europe_southern,Italy,2014,human,urine
GCF_900515985.1,Europe_southern,Italy,2013,human,urine
GCF_900516045.1,Europe_southern,Italy,2014,human,urine
GCF_900516015.1,Europe_southern,Italy,2013,human,urine
GCF_900516085.1,Europe_southern,Italy,2014,human,urine
GCF_900509595.1,Europe_southern,Italy,2013,human,urine
GCF_900516125.1,Europe_southern,Italy,2013,human,urine
GCF_900516135.1,Europe_southern,Italy,2014,human,urine
GCF_900516115.1,Europe_southern,Italy,2013,human,urine
GCF_900516095.1,Europe_southern,Italy,2014,human,urine
GCF_900516105.1,Europe_southern,Italy,2013,human,urine
GCF_900516145.1,Europe_southern,Italy,2013,human,urine
GCF_900516195.1,Europe_southern,Italy,2013,human,urine
GCF_900509585.1,Europe_southern,Italy,2014,human,urine
GCF_900516185.1,Europe_southern,Italy,2014,human,urine
GCF_900516225.1,Europe_southern,Italy,2013,human,urine
GCF_900516215.1,Europe_southern,Italy,2013,human,urine
GCF_900516205.1,Europe_southern,Italy,2014,human,urine
GCF_900515435.1,Europe_southern,Italy,2013,human,urine
GCF_902156865.1,Europe_southern,Italy,2013,human,urine
GCF_900509435.1,Europe_southern,Italy,2013,human,urine
GCF_900515445.1,Europe_southern,Italy,2013,human,urine
GCF_900515455.1,Europe_southern,Italy,2013,human,urine
GCF_900515465.1,Europe_southern,Italy,2013,human,urine
GCF_900515485.1,Europe_southern,Italy,2013,human,urine
GCF_900515495.1,Europe_southern,Italy,2013,human,urine
GCF_900515515.1,Europe_southern,Italy,2013,human,urine
GCF_900515505.1,Europe_southern,Italy,2013,human,urine
GCF_900515525.1,Europe_southern,Italy,2014,human,urine
GCF_902156895.1,Europe_southern,Italy,2013,human,urine
GCF_900515585.1,Europe_southern,Italy,2013,human,urine
GCF_900509565.1,Europe_southern,Italy,2014,human,urine
GCF_900515615.1,Europe_southern,Italy,2013,human,urine
GCF_900515595.1,Europe_southern,Italy,2014,human,urine
GCF_900515655.1,Europe_southern,Italy,2013,human,urine
GCF_900512065.1,Europe_northern,Lithuania,2014,human,urine
GCF_900512025.1,Europe_northern,Lithuania,2014,human,urine
GCF_900508485.1,Europe_northern,Lithuania,2013,human,urine
GCF_900517805.1,Europe_western,Luxembourg,2013,human,urine
GCF_900515665.1,Europe_northern,Latvia,2013,human,urine
GCF_902155905.1,Europe_northern,Latvia,2014,human,urine
GCF_900513895.1,Europe_southern,Montenegro,2014,human,urine
GCF_900514025.1,Europe_southern,Montenegro,2014,human,urine
GCF_900514035.1,Europe_southern,Montenegro,2013,human,urine
GCF_900511845.1,Europe_southern,Malta,2013,human,urine
GCF_900511945.1,Europe_southern,Malta,2013,human,urine
GCF_900511905.1,Europe_southern,Malta,2013,human,urine
GCF_900511935.1,Europe_southern,Malta,2013,human,urine
GCF_900511965.1,Europe_southern,Malta,2013,human,urine
GCF_900511955.1,Europe_southern,Malta,2013,human,urine
GCF_900512005.1,Europe_southern,Malta,2013,human,urine
GCF_900512015.1,Europe_southern,Malta,2013,human,urine
GCF_900512045.1,Europe_southern,Malta,2013,human,urine
GCF_900512055.1,Europe_southern,Malta,2013,human,urine
GCF_900512825.1,Europe_northern,Norway,2013,human,urine
GCF_900511855.1,Europe_northern,Norway,2014,human,urine
GCF_900511885.1,Europe_northern,Norway,2014,human,urine
GCF_900510085.1,Europe_eastern,Poland,2014,human,urine
GCF_900508315.1,Europe_eastern,Poland,2014,human,urine
GCF_900510075.1,Europe_eastern,Poland,2014,human,urine
GCF_900511365.1,Europe_eastern,Poland,2014,human,urine
GCF_900510065.1,Europe_eastern,Poland,2014,human,urine
GCF_900510095.1,Europe_eastern,Poland,2013,human,urine
GCF_900510105.1,Europe_eastern,Poland,2014,human,urine
GCF_900508325.1,Europe_eastern,Poland,2014,human,urine
GCF_900511375.1,Europe_eastern,Poland,2013,human,urine
GCF_900510125.1,Europe_eastern,Poland,2013,human,urine
GCF_900511395.1,Europe_eastern,Poland,2014,human,urine
GCF_900510225.1,Europe_eastern,Poland,2014,human,urine
GCF_900511385.1,Europe_eastern,Poland,2014,human,urine
GCF_900511445.1,Europe_eastern,Poland,2014,human,urine
GCF_900510145.1,Europe_eastern,Poland,2013,human,urine
GCF_900509395.1,Europe_eastern,Poland,2014,human,urine
GCF_900510205.1,Europe_eastern,Poland,2014,human,urine
GCF_900510305.1,Europe_eastern,Poland,2013,human,urine
GCF_900511475.1,Europe_eastern,Poland,2014,human,urine
GCF_900511495.1,Europe_eastern,Poland,2013,human,urine
GCF_900510335.1,Europe_eastern,Poland,2014,human,urine
GCF_900510345.1,Europe_eastern,Poland,2014,human,urine
GCF_900502645.1,Europe_southern,Portugal,2013,human,urine
GCF_900502625.1,Europe_southern,Portugal,2013,human,urine
GCF_900502675.1,Europe_southern,Portugal,2013,human,urine
GCF_900502665.1,Europe_southern,Portugal,2013,human,urine
GCF_900502695.1,Europe_southern,Portugal,2013,human,urine
GCF_900502725.1,Europe_southern,Portugal,2013,human,urine
GCF_900502745.1,Europe_southern,Portugal,2013,human,urine
GCF_900502755.1,Europe_southern,Portugal,2013,human,urine
GCF_900502765.1,Europe_southern,Portugal,2013,human,urine
GCF_900502805.1,Europe_southern,Portugal,2014,human,urine
GCF_900502795.1,Europe_southern,Portugal,2014,human,urine
GCF_900502825.1,Europe_southern,Portugal,2014,human,urine
GCF_900502835.1,Europe_southern,Portugal,2013,human,urine
GCF_900501665.1,Europe_southern,Portugal,2014,human,urine
GCF_900502885.1,Europe_southern,Portugal,2014,human,urine
GCF_900502865.1,Europe_southern,Portugal,2014,human,urine
GCF_900502905.1,Europe_southern,Portugal,2014,human,urine
GCF_900501745.1,Europe_southern,Portugal,2014,human,urine
GCF_900501775.1,Europe_southern,Portugal,2014,human,urine
GCF_900501755.1,Europe_southern,Portugal,2014,human,urine
GCF_900501735.1,Europe_southern,Portugal,2014,human,urine
GCF_900501765.1,Europe_southern,Portugal,2014,human,urine
GCF_900502155.1,Europe_southern,Portugal,2014,human,urine
GCF_900501825.1,Europe_southern,Portugal,2014,human,urine
GCF_900501785.1,Europe_southern,Portugal,2014,human,urine
GCF_900501795.1,Europe_southern,Portugal,2014,human,urine
GCF_900501835.1,Europe_southern,Portugal,2014,human,urine
GCF_900501845.1,Europe_southern,Portugal,2014,human,urine
GCF_900501865.1,Europe_southern,Portugal,2014,human,urine
GCF_900501875.1,Europe_southern,Portugal,2014,human,urine
GCF_900501915.1,Europe_southern,Portugal,2014,human,urine
GCF_900509675.1,Europe_southern,Portugal,2014,human,urine
GCF_900501935.1,Europe_southern,Portugal,2014,human,urine
GCF_900501955.1,Europe_southern,Portugal,2014,human,urine
GCF_900501975.1,Europe_southern,Portugal,2014,human,urine
GCF_900501985.1,Europe_southern,Portugal,2014,human,urine
GCF_900502015.1,Europe_southern,Portugal,2014,human,urine
GCF_900502025.1,Europe_southern,Portugal,2014,human,urine
GCF_900502065.1,Europe_southern,Portugal,2014,human,urine
GCF_900509665.1,Europe_southern,Portugal,2014,human,urine
GCF_900502095.1,Europe_southern,Portugal,2014,human,urine
GCF_900502055.1,Europe_southern,Portugal,2014,human,urine
GCF_900502085.1,Europe_southern,Portugal,2014,human,urine
GCF_900502115.1,Europe_southern,Portugal,2014,human,urine
GCF_900502135.1,Europe_southern,Portugal,2013,human,urine
GCF_900502145.1,Europe_southern,Portugal,2014,human,urine
GCF_900502175.1,Europe_southern,Portugal,2013,human,urine
GCF_900504725.1,Europe_eastern,Romania,2014,human,urine
GCF_900504165.1,Europe_eastern,Romania,2014,human,urine
GCF_900504525.1,Europe_eastern,Romania,2014,human,urine
GCF_900504535.1,Europe_eastern,Romania,2014,human,urine
GCF_900504735.1,Europe_eastern,Romania,2014,human,urine
GCF_900504555.1,Europe_eastern,Romania,2014,human,urine
GCF_900504585.1,Europe_eastern,Romania,2014,human,urine
GCF_900504665.1,Europe_eastern,Romania,2014,human,urine
GCF_900504685.1,Europe_eastern,Romania,2014,human,urine
GCF_900504705.1,Europe_eastern,Romania,2013,human,urine
GCF_900503965.1,Europe_eastern,Romania,2013,human,urine
GCF_900503995.1,Europe_eastern,Romania,2013,human,urine
GCF_900504025.1,Europe_eastern,Romania,2013,human,urine
GCF_900504005.1,Europe_eastern,Romania,2013,human,urine
GCF_900504015.1,Europe_eastern,Romania,2013,human,urine
GCF_900504055.1,Europe_eastern,Romania,2014,human,urine
GCF_900504045.1,Europe_eastern,Romania,2013,human,urine
GCF_902155865.1,Europe_eastern,Romania,2014,human,urine
GCF_900504075.1,Europe_eastern,Romania,2014,human,urine
GCF_900504095.1,Europe_eastern,Romania,2014,human,urine
GCF_900504125.1,Europe_eastern,Romania,2013,human,urine
GCF_900504155.1,Europe_eastern,Romania,2013,human,urine
GCF_900504175.1,Europe_eastern,Romania,2013,human,urine
GCF_900504185.1,Europe_eastern,Romania,2013,human,urine
GCF_900504205.1,Europe_eastern,Romania,2013,human,urine
GCF_900504215.1,Europe_eastern,Romania,2013,human,urine
GCF_900504255.1,Europe_eastern,Romania,2014,human,urine
GCF_900504235.1,Europe_eastern,Romania,2014,human,urine
GCF_900504265.1,Europe_eastern,Romania,2014,human,urine
GCF_900504225.1,Europe_eastern,Romania,2014,human,urine
GCF_900504275.1,Europe_eastern,Romania,2014,human,urine
GCF_900504295.1,Europe_eastern,Romania,2014,human,urine
GCF_900504305.1,Europe_eastern,Romania,2013,human,urine
GCF_900504315.1,Europe_eastern,Romania,2013,human,urine
GCF_900504325.1,Europe_eastern,Romania,2014,human,urine
GCF_900504335.1,Europe_eastern,Romania,2014,human,urine
GCF_900504375.1,Europe_eastern,Romania,2014,human,urine
GCF_900504395.1,Europe_eastern,Romania,2014,human,urine
GCF_900504385.1,Europe_eastern,Romania,2014,human,urine
GCF_900504455.1,Europe_eastern,Romania,2014,human,urine
GCF_900504465.1,Europe_eastern,Romania,2014,human,urine
GCF_900504475.1,Europe_eastern,Romania,2014,human,urine
GCF_900504485.1,Europe_eastern,Romania,2013,human,urine
GCF_900504505.1,Europe_eastern,Romania,2013,human,urine
GCF_900504545.1,Europe_eastern,Romania,2013,human,urine
GCF_900503305.1,Europe_eastern,Romania,2013,human,urine
GCF_900503315.1,Europe_eastern,Romania,2013,human,urine
GCF_900505695.1,Europe_eastern,Romania,2013,human,urine
GCF_900505855.1,Europe_eastern,Romania,2013,human,urine
GCF_900505955.1,Europe_eastern,Romania,2013,human,urine
GCF_900503325.1,Europe_eastern,Romania,2013,human,urine
GCF_900503345.1,Europe_eastern,Romania,2013,human,urine
GCF_900506185.1,Europe_eastern,Romania,2013,human,urine
GCF_900505075.1,Europe_eastern,Romania,2013,human,urine
GCF_900505625.1,Europe_eastern,Romania,2013,human,urine
GCF_902156145.1,Europe_southern,Serbia,2013,human,urine
GCF_900501605.1,Europe_southern,Serbia,2014,human,urine
GCF_900502515.1,Europe_southern,Serbia,2013,human,urine
GCF_902155935.1,Europe_southern,Serbia,2013,human,urine
GCF_900505085.1,Europe_southern,Serbia,2014,human,urine
GCF_900505055.1,Europe_southern,Serbia,2014,human,urine
GCF_900505065.1,Europe_southern,Serbia,2014,human,urine
GCF_900505095.1,Europe_southern,Serbia,2014,human,urine
GCF_902155925.1,Europe_southern,Serbia,2014,human,urine
GCF_900505115.1,Europe_southern,Serbia,2014,human,urine
GCF_900505105.1,Europe_southern,Serbia,2014,human,urine
GCF_900503395.1,Europe_southern,Serbia,2014,human,urine
GCF_900503425.1,Europe_southern,Serbia,2014,human,urine
GCF_900505185.1,Europe_southern,Serbia,2014,human,urine
GCF_900505215.1,Europe_southern,Serbia,2014,human,urine
GCF_900505205.1,Europe_southern,Serbia,2014,human,urine
GCF_900503485.1,Europe_southern,Serbia,2013,human,urine
GCF_900503465.1,Europe_southern,Serbia,2013,human,urine
GCF_900505245.1,Europe_southern,Serbia,2013,human,urine
GCF_900505265.1,Europe_southern,Serbia,2013,human,urine
GCF_900505295.1,Europe_southern,Serbia,2013,human,urine
GCF_900505285.1,Europe_southern,Serbia,2013,human,urine
GCF_900503495.1,Europe_southern,Serbia,2013,human,urine
GCF_900503505.1,Europe_southern,Serbia,2014,human,urine
GCF_900505325.1,Europe_southern,Serbia,2014,human,urine
GCF_900505335.1,Europe_southern,Serbia,2014,human,urine
GCF_900503515.1,Europe_southern,Serbia,2013,human,urine
GCF_900505375.1,Europe_southern,Serbia,2013,human,urine
GCF_900503555.1,Europe_southern,Serbia,2014,human,urine
GCF_900505405.1,Europe_southern,Serbia,2014,human,urine
GCF_900505445.1,Europe_southern,Serbia,2014,human,urine
GCF_900505455.1,Europe_southern,Serbia,2014,human,urine
GCF_902155965.1,Europe_southern,Serbia,2014,human,urine
GCF_900505465.1,Europe_southern,Serbia,2014,human,urine
GCF_900505505.1,Europe_southern,Serbia,2014,human,urine
GCF_900505545.1,Europe_southern,Serbia,2013,human,urine
GCF_900505565.1,Europe_southern,Serbia,2013,human,urine
GCF_900505585.1,Europe_southern,Serbia,2013,human,urine
GCF_900503605.1,Europe_southern,Serbia,2014,human,urine
GCF_902155855.1,Europe_southern,Serbia,2014,human,urine
GCF_900507105.1,Europe_southern,Serbia,2013,human,urine
GCF_900507085.1,Europe_southern,Serbia,2013,human,urine
GCF_900507115.1,Europe_southern,Serbia,2014,human,urine
GCF_900507145.1,Europe_southern,Serbia,2014,human,urine
GCF_900507165.1,Europe_southern,Serbia,2014,human,urine
GCF_900507195.1,Europe_southern,Serbia,2014,human,urine
GCF_900507175.1,Europe_southern,Serbia,2014,human,urine
GCF_900503775.1,Europe_northern,UK,2013,human,urine
GCF_900503765.1,Europe_northern,UK,2014,human,urine
GCF_900503835.1,Europe_northern,UK,2014,human,urine
GCF_900502935.1,Europe_northern,UK,2013,human,urine
GCF_900502995.1,Europe_northern,UK,2014,human,urine
GCF_900502975.1,Europe_southern,Slovenia,2013,human,urine
GCF_900502985.1,Europe_southern,Slovenia,2013,human,urine
GCF_900503025.1,Europe_southern,Slovenia,2014,human,urine
GCF_900503045.1,Europe_southern,Slovenia,2014,human,urine
GCF_900503285.1,Europe_southern,Slovenia,2014,human,urine
GCF_900503055.1,Europe_southern,Slovenia,2013,human,urine
GCF_900509695.1,Europe_southern,Slovenia,2013,human,urine
GCF_900510605.1,Europe_eastern,Slovakia,2014,human,urine
GCF_900510615.1,Europe_eastern,Slovakia,2014,human,urine
GCF_900510635.1,Europe_eastern,Slovakia,2014,human,urine
GCF_900508375.1,Europe_eastern,Slovakia,2013,human,urine
GCF_900510675.1,Europe_eastern,Slovakia,2013,human,urine
GCF_900510655.1,Europe_eastern,Slovakia,2014,human,urine
GCF_900510785.1,Europe_eastern,Slovakia,2014,human,urine
