ST,category,value
ST17,America_LC,0.034722222
ST45,America_LC,0.005952381
ST37,America_LC,0.005813953
ST14,America_LC,0.073446328
ST23,America_LC,0
ST147,America_LC,0.008510638
ST16,America_LC,0.007905138
ST101,America_LC,0.023346304
ST307,America_LC,0.023346304
ST512,America_LC,0.024523161
ST15,America_LC,0.00617284
ST11,America_LC,0.037553648
ST258,America_LC,0.029710711
ST661,America_northern,0.03030303
ST65,America_northern,0.028571429
ST111,America_northern,0.189189189
ST392,America_northern,0.162162162
ST39,America_northern,0.105263158
ST336,America_northern,0
ST13,America_northern,0.15
ST874,America_northern,0.025
ST3128,America_northern,0
ST36,America_northern,0.130434783
ST152,America_northern,0.106382979
ST395,America_northern,0.106382979
ST25,America_northern,0.122807018
ST268,America_northern,0.033333333
ST86,America_northern,0.116666667
ST34,America_northern,0.209677419
ST323,America_northern,0.015384615
ST405,America_northern,0.068493151
ST20,America_northern,0.171052632
ST437,America_northern,0.025974026
ST48,America_northern,0.068965517
ST29,America_northern,0.054347826
ST35,America_northern,0.076086957
ST340,America_northern,0.102040816
ST231,America_northern,0.053571429
ST17,America_northern,0.131944444
ST45,America_northern,0.071428571
ST37,America_northern,0.186046512
ST14,America_northern,0.152542373
ST23,America_northern,0.10106383
ST147,America_northern,0.085106383
ST16,America_northern,0.055335968
ST101,America_northern,0
ST307,America_northern,0.155642023
ST512,America_northern,0.002724796
ST15,America_northern,0.034979424
ST11,America_northern,0.055793991
ST258,America_northern,0.674745895
ST661,Asia_E,0.090909091
ST65,Asia_E,0.171428571
ST111,Asia_E,0.081081081
ST392,Asia_E,0
ST39,Asia_E,0.026315789
ST336,Asia_E,0
ST13,Asia_E,0.05
ST874,Asia_E,0
ST3128,Asia_E,0
ST36,Asia_E,0.130434783
ST152,Asia_E,0
ST395,Asia_E,0
ST25,Asia_E,0.192982456
ST268,Asia_E,0.166666667
ST86,Asia_E,0.15
ST34,Asia_E,0.032258065
ST323,Asia_E,0.015384615
ST405,Asia_E,0
ST20,Asia_E,0.026315789
ST437,Asia_E,0.025974026
ST48,Asia_E,0.057471264
ST29,Asia_E,0.108695652
ST35,Asia_E,0.065217391
ST340,Asia_E,0.010204082
ST231,Asia_E,0
ST17,Asia_E,0.111111111
ST45,Asia_E,0.196428571
ST37,Asia_E,0.209302326
ST14,Asia_E,0.02259887
ST23,Asia_E,0.260638298
ST147,Asia_E,0.034042553
ST16,Asia_E,0.015810277
ST101,Asia_E,0.003891051
ST307,Asia_E,0.042801556
ST512,Asia_E,0
ST15,Asia_E,0.098765432
ST11,Asia_E,0.600858369
ST258,Asia_E,0.003127443
ST661,Asia_SE,0.090909091
ST65,Asia_SE,0.514285714
ST111,Asia_SE,0.054054054
ST392,Asia_SE,0.027027027
ST39,Asia_SE,0.052631579
ST336,Asia_SE,0.128205128
ST13,Asia_SE,0
ST874,Asia_SE,0.025
ST3128,Asia_SE,0
ST36,Asia_SE,0.108695652
ST152,Asia_SE,0
ST395,Asia_SE,0.063829787
ST25,Asia_SE,0.035087719
ST268,Asia_SE,0.066666667
ST86,Asia_SE,0.083333333
ST34,Asia_SE,0.016129032
ST323,Asia_SE,0.061538462
ST405,Asia_SE,0
ST20,Asia_SE,0.118421053
ST437,Asia_SE,0
ST48,Asia_SE,0.068965517
ST29,Asia_SE,0.108695652
ST35,Asia_SE,0.141304348
ST340,Asia_SE,0.020408163
ST231,Asia_SE,0.294642857
ST17,Asia_SE,0.076388889
ST45,Asia_SE,0.029761905
ST37,Asia_SE,0.063953488
ST14,Asia_SE,0.13559322
ST23,Asia_SE,0.207446809
ST147,Asia_SE,0.131914894
ST16,Asia_SE,0.723320158
ST101,Asia_SE,0.062256809
ST307,Asia_SE,0.050583658
ST512,Asia_SE,0
ST15,Asia_SE,0.086419753
ST11,Asia_SE,0.033261803
ST258,Asia_SE,0.002345582
ST661,Asia_S,0.060606061
ST65,Asia_S,0
ST111,Asia_S,0
ST392,Asia_S,0
ST39,Asia_S,0
ST336,Asia_S,0.333333333
ST13,Asia_S,0.075
ST874,Asia_S,0
ST3128,Asia_S,0
ST36,Asia_S,0
ST152,Asia_S,0.042553191
ST395,Asia_S,0.063829787
ST25,Asia_S,0.052631579
ST268,Asia_S,0
ST86,Asia_S,0
ST34,Asia_S,0.016129032
ST323,Asia_S,0
ST405,Asia_S,0
ST20,Asia_S,0.039473684
ST437,Asia_S,0.051948052
ST48,Asia_S,0.218390805
ST29,Asia_S,0.054347826
ST35,Asia_S,0.010869565
ST340,Asia_S,0.051020408
ST231,Asia_S,0.383928571
ST17,Asia_S,0.020833333
ST45,Asia_S,0.017857143
ST37,Asia_S,0.023255814
ST14,Asia_S,0.107344633
ST23,Asia_S,0.021276596
ST147,Asia_S,0.119148936
